organisation,website,sector,fund_size_min,fund_size_max,fund_currency,country,type,crawl_urls
Grofin,http://www.grofin.com/,"education,
health,
agriculture,
manufacturing,
water,
energy,
sanitation",100000,1500000,USD,"Africa,
Middle East and North Africa",,"http://www.grofin.com/language/en/entrepreneurs/#section1_grofinmorethanfinance',
'http://www.grofin.com/language/en/about_grofin/',
'http://www.grofin.com/language/en/apply/'
"
Invested Development,http://investeddevelopment.com,,,,,,,"http://investeddevelopment.com/strategy/',
'http://investeddevelopment.com/investing/',
'http://investeddevelopment.com/current_portfolio/',

"
"Investisseurs &
Partenaires (I&P)",http://www.ietp.com/en,"Health
Agriculture
Transport & Supply Chains
Workforce Development
Social & Micro Finance",360000,1800000,USD,"Guinea,
Ghana,
Gambia, The Gabon,
Congo, Democratic Republic of the Cameroon,
Burkina Faso,
Benin,
Mauritius,
Senegal,
Namibia,
Mauritania,
Mali,
Cote d'Ivoire,
Togo,
Madagascar",,"http://www.ietp.com/en/content/mission',
'http://www.ietp.com/en/content/impact-funds',
'http://www.ietp.com/en/content/about'


"
Oikocredit,,,,,,,,
Persistent Energy Capital,,,,,,,,
"Social Venture Capital
Fund (SOVEC)",,,,,,,,
Terra Bella Fund,,,,,,,,
African Development Bank (AfDB),,,,,,,,
CDC Group plc,,,,,,,,
European Investment Bank (EIB),,,,,,,,
Netherlands Development Finance Company  (FMO),,,,,,,,
Norwegian Investment,,,,,,,,
Fund for Developing,,,,,,,,
Proparco,,,,,,,,
The Swiss Investment Fund for Emerging Markets (SIFEM),,,,,,,,
International Finance Corporation (IFC),,,,,,,,
Credit Suisse,,,,,,,,
JP Morgan Chase & Co,,,,,,,,
Bill and Melinda Gates Foundation,,,,,,,,
Calvert Foundation,,,,,,,,
DOEN Foundation,,,,,,,,
Lundin Foundation,,,,,,,,
Omidyar Network,,,,,,,,
Rockefeller Foundation,,,,,,,,
Skoll Foundation,,,,,,,,
Tony Elumelu Foundation,,,,,,,,
Abraaj Group,,,,,,,,
Accion International,,,,,,,,
Acumen Fund,,,,,,,,
Agri-Vie,,,,,,,,
AlphaMundi Group Ltd,,,,,,,,
Ariya Capital,,,,,,,,
BlueOrchard Impact Investment Managers,,,,,,,,
Catalyst Principal Partners,,,,,,,,
Developing World Markets (DWM),,,,,,,,
DOB Equity,,,,,,,,
Gawa Capital,,,,,,,,
Good Capital LLC,,,,,,,,
Grassroots Business Fund,,,,,,,,
Gray Ghost Ventures (GGV),,,,,,,,
GroFin,,,,,,,,
Heart Capital,,,,,,,,
Ignite Fund,,,,,,,,
Injaro Agricultural Capital Holdings Ltd.,,,,,,,,
International Housing Solutions (IHS),,,,,,,,
Investisseurs & Partenaires (I&P),,,,,,,,
LeapFrog Investments,,,,,,,,
Mergence Investment Managers,,,,,,,,
MicroCredit Enterprises,,,,,,,,
Microvest Capital Management,,,,,,,,
Moringa Partnership,,,,,,,,
Novastar Ventures Limited,,,,,,,,
Pearl Capital Partners,,,,,,,,
Phatisa Fund Managers Limited,,,,,,,,
Photovoltaic Market,,,,,,,,
Transformation Initiative (PVMTI),,,,,,,,
REGMIFA (Regional Micro,,,,,,,,
responsAbility,,,,,,,,
Root Capital,,,,,,,,
Sarona Asset Management,,,,,,,,
Social Venture Capital Fund (SOVEC),,,,,,,,
Symbiotics,,,,,,,,
Terra Global Investment Management,,,,,,,,
The Investment Fund For         Health In Africa,,,,,,,,
Treetops Capital,,,,,,,,
Triodos Investment Management,,,,,,,,
UFF Management,,,,,,,,
Unique Venture Capital (UVC) Management Company Limited,,,,,,,,
Vital Capital,,,,,,,,
Willow Impact Investors,,,,,,,,
Yunus Social Business (YSB),,,,,,,,
The BiD Network,,,,,,,,
Dalberg Global Development Advisors,,,,,,,,
Enclude Solutions,,,,,,,,
Endeavor Global,,,,,,,,
Impact Amplifier,,,,,,,,
LifeCo UnLtd South Africa,,,,,,,,
Open Capital Advisors,,,,,,,,
Shell Foundation,,,,,,,,
Social Enterprise Academy South Africa,,,,,,,,
Technoserve,,,,,,,,
 funded bill melinda gates foundation ,,,,,,,,
Bertha Centre for,,,,,,,,
"Lagos Business School (LBS), Nigeria",,,,,,,,
 responding regulatory environment macroeconomic risk management . course covers various issues management individuals ,,,,,,,,
"Strathmore Business School (SBS), Kenya",,,,,,,,
Aspen Network of Development,,,,,,,,
Global Impact Investing Network (GIIN),,,,,,,,
Southern African Impact Investing Network (SAIIN),,,,,,,,
Global Impact Investing Rating System (GIIRS),,,,,,,,
Global Alliance for Clean Cookstoves,,,,,,,,
Draper Richards Kaplan Foundation,,,,,,,,
